Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
BX2,453005705,85.5569232,27.863669,357926.357,3082936.751,1282.51,102.1859375,130.3836921
BX3,453013004,85.555964,27.8633309,357831.466,3082900.404,1276.82,102.1969329,128.9863773
C01,453005808,85.5665132,28.0003812,359048.177,3098072.514,3170.56,99.1683681,128.356956
C02,453005641,85.5661462,27.9992552,359010.617,3097948.184,3153.81,99.160081,129.7253356
C03,453005745,85.5655571,27.9986336,358951.875,3097879.994,3122.14,99.1802431,128.7641088
C04,453014338,85.5649962,27.9983535,358896.349,3097849.602,3110.99,99.1731597,125.1261921
C05,453012174,85.5645302,27.997998,358850.058,3097810.762,3090.21,99.1921875,126.3766088
C06,453013681,85.5640247,27.9983441,358800.805,3097849.691,3066.88,99.1852199,126.2435532
C07,453013206,85.5635871,27.9982971,358757.708,3097844.986,3046.58,99.2034606,126.4937153
C08,453012861,85.5630752,27.9977246,358706.613,3097782.156,2990.38,99.1974884,126.3838542
C09,453013018,85.5625264,27.9971447,358651.891,3097718.532,2950.41,99.2217708,126.3964699
C10,453011916,85.5619733,27.9973079,358597.714,3097737.262,2919.93,99.2098958,127.1909838
C11,453013009,85.5615516,27.9976455,358556.678,3097775.149,2904.65,99.234294,127.1012153
C12,453005610,85.5609825,27.9975847,358500.633,3097769.074,2874.78,99.2208912,129.2117014
C13,453013182,85.5604739,27.9974843,358450.484,3097758.546,2849.7,99.245544,127.2677662
C14,453011929,85.5599517,27.9976422,358399.339,3097776.639,2827.83,99.234456,126.2149884
C15,453005477,85.5594153,27.9975424,358346.46,3097766.203,2799.63,99.2665625,128.365706
C16,453013231,85.5590425,27.998157,358310.601,3097834.741,2787.78,99.2444097,127.1226736
C17,453005739,85.5584436,27.9979385,358251.418,3097811.226,2769.29,99.2902894,128.335544
C18,453014309,85.5578958,27.9980905,358197.746,3097828.701,2757.54,99.2562616,126.2659606
C19,453012514,85.5574526,27.9978016,358153.778,3097797.203,2744.17,99.3045023,126.8272569
